AspectRatio,CruiseVelocity,Drag_N,WingWeight_kg
4.0,20,6.401184804132441,1.5944228884549234
4.5,20,5.856151249073343,1.559687440957038
5.0,20,5.422896889560997,1.5332036654434684
5.5,20,5.070719706932439,1.512914301057101
6.0,20,4.779198445294,1.4973932724002845
6.5,20,4.534226141453326,1.4856190970624765
7.0,20,4.325747069079347,1.4768399764898532
7.5,20,4.14640116511619,1.4704898200872223
8.0,20,3.990678238208994,1.466133990203598
8.5,20,3.8543716158566244,1.4634331219102656
9.0,20,3.734214508468079,1.462118329592605
9.5,20,3.6276316004151385,1.4619738089603747
10.0,20,3.5325654286863806,1.462824371628739
10.5,20,3.447352543543436,1.4645263475837171
11.0,20,3.3706335739437634,1.466960835507608
11.5,20,3.3012868355695413,1.4700286205817084
12.0,20,3.2383786010713314,1.4736462965147732
12.5,20,3.181125349487355,1.47774327049115
13.0,20,3.1288647597125645,1.482259424416156
13.5,20,3.0810331736934815,1.4871432701600158
14.0,20,3.0371479066532845,1.492350480934919
14.5,20,2.9967932305596157,1.497842712105216
15.0,20,2.959609170953978,1.5035866468989223
15.5,20,2.925282479803144,1.5095532184623415
16.0,20,2.893539306830623,1.515716971348243
16.5,20,2.864139207887553,1.5220555341175328
17.0,20,2.8368702142147266,1.5285491811339276
17.5,20,2.8115447497495962,1.5351804664452442
18.0,20,2.787996231068106,1.5419339162991976
18.5,20,2.766076220417645,1.5487957696389547
19.0,20,2.745652029648985,1.5557537580821585
19.5,20,2.7266046938762,1.5627969185651114
20.0,20,2.7088272499735138,1.5699154331474268
20.5,20,2.69222326771554,1.5771004915077271
21.0,20,2.6767055913358817,1.5843441724820009
21.5,20,2.6621952571564247,1.5916393416512324
22.0,20,2.6486205592015297,1.5989795625104386
22.5,20,2.635916239717564,1.606359019175146
23.0,20,2.6240227855421367,1.6137724489250096
23.5,20,2.6128858145196245,1.6212150831642602
24.0,20,2.6024555387999464,1.6286825956078292
24.5,20,2.59268629401162,1.6361710566903862
25.0,20,2.5835361250660567,1.643676893351063
4.0,25,4.833993700883034,1.5944228884549234
4.5,25,4.498189028155835,1.559687440957038
5.0,25,4.233269325744571,1.5332036654434684
